question,answer,url_zalo,url_bus_image,url_link,
Can I have information about BUV bus services. Do we have to register to use the bus service?,"The BUV Bus Service is a student’s support service without any fee. However, at the beginning of semester, new students would be asked to register for BUV bus service so that BUV Transportation Team could understand the demand and arrange the suitable bus schedules. BUV provides bus routes from designated points in 04 districts of Hanoi direct to BUV Campus such as Hai Ba Trung, Cau Giay, Tay Ho, Ha Dong and Ecopark area.",,,,
How can I receive the bus schedules?,"BUV bus service provides 2 bus schedules which are weekday schedule (from Monday to Friday) and weekend schedule.

If you are a BUV student who is attending this semester, the weekday bus schedules will be sent weekly to students' and staff’s email on every Friday with the updated schedule for the week after. The weekend schedule will be sent on every Tuesday of that week to relevant people to class or event during weekend only.

If you are a BUV student who is not attending this semester or parents who wish to receive weekly schedule, kindly joint our community on Zalo through the following QR codes",data/img/QR_Code/ZaloQRCode.jpeg,,,
When is the bus schedule sent out?,"BUV bus service provides 2 bus schedules which are weekday schedule (from Monday to Friday) and weekend schedule.

If you are a BUV student who is attending this semester, the weekday bus schedules will be sent weekly to students' and staff’s email on every Friday with the updated schedule for the week after. The weekend schedule will be sent on every Tuesday of that week to relevant people to class or event during weekend only.

If you are a BUV student who is not attending this semester or parents who wish to receive weekly schedule, kindly joint our community on Zalo through the following QR codes",data/img/QR_Code/ZaloQRCode.jpeg,,,
Do BUV buses run on weekends?,"The bus service is available limited on the weekend for pre-booked classes or event only. If you wish to come to school at the weekend, kindly contact BUV Transportation Team at transportation@buv.edu.vn for further support.",,,,
How can I recognize BUV buses?,You can recognize BUV buses from the advertising image of BUV on the body and/or a particular BUV signage on the front and side of the vehicle. The signage indicates the operating route of the bus.,,data/img/Bus_images/NormalBus.jpeg,,
How can I use the bus?,"If you are BUV-ers, you must wear your student ID/ staff ID to help drivers easily identify.

If you are guest of BUV, please show your invitation from BUV’s department/ employee for the bus driver to recognize BUV’s passengers.

You are advised to arrive at the bus stop 5-10 minutes prior to the departure time to avoid missing the bus.",,,,
Where can I park at pick-up locations? Do I have to pay for the parking fee?,You can find parking areas near all pick-up locations. Any associated parking costs and arrangements are your responsibility. You can contact BUV Transportation Team at 0704 068 386 for further guidance.,,,,
How can I recognize pick-up/drop-off points?,You can find the pick-up/ drop-off locations description on the bus schedules file GPS links of all pick-up and drop-off locations is included in the latest BUV SHUTTLE BUS OPERATION INSTRUCTION updated on 11/07/2024. Please read and follow them carefully.,,,,
Can I have the exact location of pick-up/drop-off points?,You can find the pick-up/ drop-off locations description on the bus schedules file GPS links of all pick-up and drop-off locations is included in the latest BUV SHUTTLE BUS OPERATION INSTRUCTION updated on 11/07/2024. Please read and follow them carefully.,,,,
"If I have left an item on the bus, how do I get it returned?","You should contact BUV transportation team at 0704 068 386 as soon as you are aware of your belongings go missing after using BUV bus. Then, you are required to fill in a Lost & Found report. Once the lost item is found, you will be contacted to come and collect your belongings at the Lost & Found counter at the 1st floor reception if it matches your description. ",,,,
What should I do if I do not receive the bus schedules?,"Normally, bus schedules are sent to all attending students of the semester, staff and relevant people who have activities at BUV campus. If you belong to one of the mentioned groups and do not receive the bus schedules, please contact BUV Transportation Team at transportation@buv.edu.vn for appropriate action.
You are recommended to join our community on Zalo to be updated on weekday schedules and daily information of each route as well. ",data/img/QR_Code/ZaloQRCode.jpeg,,,
What should I do if the bus does not arrive on time?,"School buses might run late due to unforeseen circumstances like traffic, accidents, road closures, prior run delays, etc. Students should arrive at the bus stop 5-10 minutes prior to the departure time to avoid missing the bus. Kindly contact BUV Transportation Team at 0704 068 386 for prompt support. If students are late to school due to the delay of BUV bus arrival, they are not marked tardy.",,,,
What should I do if the bus driver behaves unprofessionally?,You should contact BUV Transportation Team at 0704 068 386 immediately for support.,,,,
What should I do if the bus has bad odor or dirty inside the bus?,You can report the bus condition to BUV Transportation Team at 0704 068 386 or leave your feedback at transportation@buv.edu.vn for appropriate action.,,,,
Does BUV provide an alternative if the buses are fully booked?,"Normally, If the buses are full of registered users. You should contact BUV Transportation Team at 0704 068 386 immediately for support. They will be able to assist you and take appropriate action. You can also leave your feedback at transportation@buv.edu.vn to report the incident and ensure that it is addressed.",,,,
What should I do if the bus goes in the wrong route?,"If the bus goes in the wrong route, you should contact BUV Transportation Team at 0704 068 386 immediately for support. They will be able to assist you and take appropriate action. You can also leave your feedback at transportation@buv.edu.vn to report the incident and ensure that it is addressed.",,,,
What should I do if the bus is full?,"Since BUV buses only transport a maximum of 29 passengers including the bus driver on 29-seat vehicles, under no circumstances are more than 29 people allowed on a vehicle. You should not sit on the extra seat on the bus. You should not stand on the bus for your safety. Number of buses for every time slot is estimated and arranged based on the number of students attending classes at the nearest class time, in case there is a shortage of buses due to the inconsistent and unexpected bus usage routine of students, seats are allocated on a first come – first served basis and students will be prioritized over staff members. If the bus is full, you should contact BUV Transportation Team at 0704 068 386 immediately for us to arrange alternative transportation necessary.   ",,,,
What should I do in the event of “inclement weather”?,"In the event of “inclement weather,” drivers are instructed to follow certain procedures that could result in the bus being delayed. Students should arrive at the stop at least 05 minutes before the scheduled time and wait for at least 15 minutes after the scheduled time. Should you need any prompt support, please contact BUV Transportation Team at 0704 068 386.",,,,
